Sample,PLASMA01,PLASMA02,PLASMA03,PLASMA05,PLASMA06,PLASMA07,QC1,QC2,QC3,QC4,QC5,QC6,SERUM01,SERUM02,SERUM03,SERUM04,SERUM05,SERUM06,WB01,WB02,WB03,WB04,WB05,WB06
Label,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,QC,QC,QC,QC,QC,QC,Serum,Serum,Serum,Serum,Serum,Serum,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood
70.0659__41.51,16501405.54204,9306639.18715,4739761.61603,11571110.46238,7766594.2633,10488018.00402,11503260.32568,11723624.25013,12557001.87671,12040455.28694,12255942.47944,12341166.01398,18172479.34097,10502306.55811,6061083.22696,11497475.94925,13137053.88916,9353980.92877,17448640.38784,13051736.608,6574530.93096,10685347.06112,13005608.87874,9631995.98376
72.0815__43.04,152548428.63484,110361448.4982,116834736.74039,105830997.34713,129621715.20303,156328146.70839,139035097.64678,137692889.28422,143023907.86577,143247007.92836,141964973.54894,141927312.70323,159148760.78945,110949816.32827,121975839.04675,115657402.49722,113112766.21686,138137355.00341,148509810.72154,109915346.79898,112597427.20786,103963591.23927,100413961.22803,124690100.4312
72.3482__42.59,462758.56725,661379.95425,638351.70251,588173.99132,722734.74039,663532.90614,NA,NA,74477.66633,15744.87263,60669.8049,30066.29818,NA,NA,NA,NA,NA,NA,30882.96801,NA,27973.02678,30834.23551,NA,NA
74.0328__34.65,1527834.54024,1868532.1987,1312486.87584,1626497.84393,608142.87312,1693060.36813,1772861.83032,1589746.06814,1991428.23155,1801176.04597,1581202.86765,1968904.97791,131057.16351,160179.68167,125136.51474,180963.308,152685.5228,147667.95404,2532961.32361,2539711.53673,2790518.03884,3126534.49889,2995783.53438,3044021.15533
74.5312__34.64,1757008.08684,2361228.08708,1244542.72306,2154535.01385,2110632.96139,2209032.14509,2267154.32096,2071083.78591,2173029.43786,2157318.9645,2074717.45459,2065752.0671,214847.10235,203510.87883,204988.82625,210737.54616,167334.67775,214709.96097,2864295.32546,3849264.08506,3691887.84253,3840540.30078,3673982.3837,3477713.40095
80.0501__48.27,1229932.96015,2310865.9986,2298716.78671,3830942.8763,2257242.63128,1480418.59733,2110574.03166,3677073.87692,3258101.28796,1769495.24266,2348164.82012,3287276.10645,1776184.77763,2171798.97419,2363069.07951,1637657.65276,1402276.48341,3701892.35762,4095987.55472,3636403.1976,3788488.2963,3974882.11742,5473426.07452,3734609.25856
81.015__34.74,4716204.04809,5012568.36151,4903357.15512,5516803.65948,4807587.59389,4955826.15949,2800473.9458,2805810.20235,2717293.74126,2851749.63578,2824972.76089,2601312.27473,204757.84862,328458.76965,198810.39662,269571.55685,246916.48066,230866.18328,3282231.34724,2946991.60538,2722612.21204,3266685.08242,3536381.38121,2655127.22489
83.0266__34.61,8010772.10456,9218282.85795,7376158.96644,9627697.41469,8744482.63431,10469919.28777,9352985.26844,8671055.99318,9739183.53874,9499948.07141,9632179.41514,10543139.23409,NA,NA,985738.86597,NA,1111082.3969,NA,13425738.28564,15902194.34503,16073220.815,16845823.03493,16264308.72122,15059656.84305
83.5364__34.64,2119303.76529,30104444.86045,2125604.28966,2144967.85656,2250055.14874,2433380.9465,938812.13539,27848277.59081,30195347.55402,1266546.25692,1339769.50353,30339272.59431,3890759.66058,3439804.17038,3262152.49905,3267911.66284,4015180.47662,3118668.96328,39445010.33478,50033560.1148,1127593.12979,52705337.1042,47966296.99571,44770425.06975
84.0381__34.62,8613021.50655,1761577.15637,9032009.74826,10644188.43147,9745417.73828,10468863.22991,1731040.73601,1770054.86231,2043318.96492,1500168.51108,1583792.75989,10948034.16404,239860.13533,268571.08712,271731.61182,5373124.18109,1233889.30459,1067383.29675,2842232.33412,2609475.41216,2858534.20917,2958520.13554,3229349.54742,2881939.10562
