"mz","rt","adduct","isotopes","Formula","Compound","HMDBID","intenVale","pvals","pfdr","cvs"
440.7215,38.31,"","","","",NA,6654068.6,3.4816127e-32,0,53.25
345.9835,42.96,"","","","",NA,139153706.1,4.97291e-32,0,39.71
596.9413,39.28,"","","","",NA,453197.9,9.7582754e-32,0,46.61
674.5569,38.11,"","","","",NA,1332708.7,2.4872458e-31,0,58.67
786.4356,38.13,"","","","",NA,735091.3,7.7765068e-31,0,54.41
375.0179,40.96,"[M+K]+ 336.055","[54][M]+","","",NA,52386982.5,1.1425835e-30,0,38.76
802.4998,38.2,"","","","",NA,1222396.8,2.858348e-30,0,54.36
780.4453,38.14,"","","","",NA,1476989.6,4.4614341e-30,0,56.8
430.6928,38.27,"[M+Na]+ 407.705","","","",NA,5283417.4,4.8555433e-30,0,52.97
369.9245,34.7,"[M+Na]+ 346.937","","","",NA,3197514.2,1.7365591e-29,0,35.43
241.0086,40.14,"[M+K]+ 202.046","","","",NA,6611855.4,1.8384536e-29,0,36.4
456.9558,39.19,"","","","",NA,5434885.8,1.8448056e-29,0,36.14
642.7339,38.58,"[3M+3K-H]2+ 389.863 [M+H-COCH2]+ 683.739","","","",NA,1670506.5,2.4758242e-29,0,50.52
346.9085,34.72,"[M+Na]+ 323.921","","","",NA,3832118.1,2.6458687e-29,0,35.68
304.7428,38.27,"","","","",NA,2306150,1.1514036e-28,0,35.02
436.6609,38.26,"","","","",NA,1174120.4,1.3286582e-28,0,49.6
784.4392,38.11,"[M+H]+ 783.434","","","",NA,1399922.4,1.3509388e-28,0,53.27
664.5282,38.1,"","","C36H74NO7P; ","LysoPC(28:0/0:0); ","HMDB0029206; ",740800,1.8524154e-28,0,56.47
448.9511,39.39,"","","","",NA,3217987,2.0221564e-28,0,35.44
324.0015,47.67,"","","","",NA,14673510.4,3.7647935e-28,0,37.37
383.9652,47,"[M+K]+ 345.002","","","",NA,11254048,5.6764978e-28,0,37.06
610.8291,38.69,"","","","",NA,2997734,1.2478164e-27,0,35.34
629.1531,42.75,"","[68][M]+","","",NA,7575606.3,2.1492275e-27,0,36.55
468.815,38.62,"[M+K+NaCOOH]+ 361.864 [M+Na+NaCOOH]+ 377.838 [M+Na+HCOOH]+ 399.82 [M+Na]+ 445.825","","","",NA,2672326.8,3.6732771e-27,0,35.16
506.7161,38.24,"[M+Na]+ 483.726","","","",NA,2341615.6,5.9103686e-27,0,40.87
650.6329,38.14,"[M+Na+NaCOOH]+ 559.657","","","",NA,998167.4,8.87574e-27,0,33.7
514.9151,38.89,"","","","",NA,2594417,1.0294504e-26,0,35.15
319.8868,39.62,"","","","",NA,374611.4,1.3326181e-26,0,54.88
